service,service_name,geo_type,geo_name,geo_slug,tier,proposed_url,priority,action
narkolog-na-dom,Нарколог на дом,metro,Ленинский проспект,leninskij-prospekt,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/leninskij-prospekt/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Лермонтовский проспект,lermontovskij-prospekt,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/lermontovskij-prospekt/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Лесопарковая,lesoparkovaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/lesoparkovaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Лихоборы,lihobory,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/lihobory/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Локомотив,lokomotiv,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/lokomotiv/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Ломоносовский проспект,lomonosovskij-prospekt,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/lomonosovskij-prospekt/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Лубянка,lubyanka,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/lubyanka/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Лужники,luzhniki,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/luzhniki/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Люблино,lyublino,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/lyublino/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Марьино,marino,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/marino/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Марьина Роща,marina-roshcha,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/marina-roshcha/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Марксистская,marksistskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/marksistskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Маяковская,mayakovskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/mayakovskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Медведково,medvedkovo,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/medvedkovo/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Менделеевская,mendeleevskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/mendeleevskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Международная,mezhdunarodnaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/mezhdunarodnaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Минская,minskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/minskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Молодёжная,molodezhnaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/molodezhnaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Мякинино,myakinino,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/myakinino/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Нагатинская,nagatinskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/nagatinskaya/,P0,migrate/create
