geo_type,name,slug,tier
mo,Люберцы,lyubertsy,tier-1
mo,Красногорск,krasnogorsk,tier-1
mo,Электросталь,elektrostal,tier-1
mo,Коломна,kolomna,tier-1
mo,Одинцово,odincovo,tier-1
mo,Домодедово,domodedovo,tier-1
mo,Щёлково,shchelkovo,tier-1
mo,Серпухов,serpuhov,tier-1
mo,Раменское,ramenskoe,tier-1
mo,Долгопрудный,dolgoprudnyj,tier-1
mo,Пушкино,pushkino,tier-1
mo,Реутов,reutov,tier-1
mo,Жуковский,zhukovskij,tier-1
mo,Ногинск,noginsk,tier-1
mo,Сергиев Посад,sergiev-posad,tier-1
mo,Воскресенск,voskresensk,tier-1
mo,Орехово-Зуево,orehovo-zuevo,tier-1
mo,Павловский Посад,pavlovskij-posad,tier-1
mo,Лобня,lobnya,tier-1
mo,Ивантеевка,ivanteevka,tier-1
mo,Клин,klin,tier-1
mo,Егорьевск,egorevsk,tier-1
mo,Дмитров,dmitrov,tier-1
mo,Чехов,chehov,tier-1
mo,Наро-Фоминск,naro-fominsk,tier-1
mo,Ступино,stupino,tier-2
mo,Видное,vidnoe,tier-2
mo,Фрязино,fryazino,tier-2
mo,Лыткарино,lytkarino,tier-2
mo,Дзержинский,dzerzhinskij,tier-2
mo,Котельники,kotelniki,tier-2
mo,Истра,istra,tier-2
mo,Дедовск,dedovsk,tier-2
mo,Солнечногорск,solnechnogorsk,tier-2
mo,Апрелевка,aprelevka,tier-2
mo,Кубинка,kubinka,tier-2
mo,Руза,ruza,tier-2
mo,Звенигород,zvenigorod,tier-2
mo,Можайск,mozhajsk,tier-2
mo,Луховицы,luhovicy,tier-2
mo,Кашира,kashira,tier-2
mo,Протвино,protvino,tier-2
mo,Дубна,dubna,tier-2
mo,Черноголовка,chernogolovka,tier-2
mo,Волоколамск,volokolamsk,tier-2
